Incdence_Date,Refresh_Date,Partner_Organization,Channel,Asset_Name,Seasonal_Event_Name,Social_Platform,Social_Account,Account_Handle,Unique_Social_ID,Digital_Source,Unique_Digital_ID,Media_Type,URL,Market,Unique_Broadcast_ID,Broadcast_Network_(US),Broadcast_Network_(Local_H),Broadcast_Network_(Local _A),Broadcast_Network_(UK),Broadcast_Network_(SP),Total_Impressions,Social_Impressions,Digital_Impressions,Broadcast_Impressions (US|HHLD),Broadcast_Impressions_(US National|P2+),Broadcast_Impressions_(US Local H|P2+),Broadcast_Impressions_(US Local A|P2+),Broadcast_Impressions_(UK|P2+),Broadcast_Impressions_(SP|P2+),Engagements,Video_Views,Exposures,Video_Length,Duration_per_Exposure,30_Sec_Equivalent,Duration_Factor,EXT_Factor,ME_Score,ME_Value,Home_Team,Away_Team,Brand_1,Brand_2,Content_Message,Customer_Journey_Stage,CSA_Targeted,Audience_Persona
2025-11-16,2025-10-29,Partner_4,Online,Asset_3,Event_3,Instagram,Account_7,Handle_6,UID_5786,Source_B,DID_3141,Video,https://example.com/2,SP,UBID_1112,Network_3,Network_2,Network_3,Network_4,Network_2,9009,1551,1999,3515,2244,1857,3797,4259,3522,611,429,712,194,4.99,9,1.12,0.96,85.49,331.61,Team_3,Team_4,Brand_3,Brand_3,Message_5,Decision,False,Persona_2
2025-11-19,2025-11-04,Partner_1,Social,Asset_1,Event_3,Twitter,Account_4,Handle_6,UID_5147,Source_A,DID_1537,Image,https://example.com/8,SP,UBID_1092,Network_3,Network_2,Network_4,Network_4,Network_2,6955,1115,1520,1943,3002,1090,1104,972,3770,62,741,101,104,2.27,8,1.34,0.9,72.47,1441.12,Team_2,Team_4,Brand_5,Brand_2,Message_5,Awareness,False,Persona_3
2025-11-21,2025-10-26,Partner_3,Online,Asset_8,Event_3,Facebook,Account_3,Handle_5,UID_4768,Source_A,DID_7112,Image,https://example.com/8,SP,UBID_5282,Network_4,Network_2,Network_3,Network_4,Network_3,7009,316,3626,4307,2437,3764,2205,2453,2437,774,267,990,32,2.26,2,1.44,0.85,93.04,148.3,Team_4,Team_2,Brand_5,Brand_5,Message_1,Decision,True,Persona_3
2025-10-22,2025-11-02,Partner_5,TV,Asset_2,Event_1,Twitter,Account_7,Handle_6,UID_6446,Source_B,DID_9562,Video,https://example.com/9,UK,UBID_2849,Network_2,Network_1,Network_1,Network_2,Network_5,2328,2002,3543,4585,3308,4367,4185,2763,4716,340,698,569,239,1.01,10,1.27,0.65,50.75,1080.35,Team_1,Team_3,Brand_1,Brand_5,Message_4,Consideration,False,Persona_1
2025-11-05,2025-11-20,Partner_1,Online,Asset_3,Event_3,Twitter,Account_1,Handle_3,UID_1133,Source_A,DID_8031,Video,https://example.com/2,US,UBID_2485,Network_3,Network_5,Network_5,Network_5,Network_2,6759,676,3013,855,1208,1575,1637,4103,168,359,874,581,235,0.4,6,0.81,0.92,16.87,2313.68,Team_2,Team_4,Brand_4,Brand_2,Message_2,Consideration,False,Persona_4
2025-10-25,2025-11-11,Partner_3,Social,Asset_4,Event_3,Facebook,Account_6,Handle_3,UID_6068,Source_A,DID_5817,Video,https://example.com/8,SP,UBID_1163,Network_1,Network_2,Network_1,Network_2,Network_3,6070,1137,1923,438,3963,2131,4771,2571,134,190,676,620,230,3.3,0,1.36,1.6,23.51,3159.29,Team_5,Team_1,Brand_1,Brand_1,Message_2,Decision,False,Persona_1
2025-11-12,2025-11-06,Partner_3,Social,Asset_10,Event_1,Twitter,Account_2,Handle_6,UID_6339,Source_B,DID_5504,Image,https://example.com/1,UK,UBID_1042,Network_3,Network_5,Network_1,Network_4,Network_5,3455,1469,1126,2029,2674,1688,703,4108,223,203,433,828,195,0.48,7,1.7,1.25,37.01,4291.23,Team_5,Team_4,Brand_3,Brand_4,Message_3,Decision,True,Persona_3
2025-11-10,2025-11-20,Partner_2,Social,Asset_6,Event_1,Twitter,Account_10,Handle_10,UID_2826,Source_B,DID_6381,Image,https://example.com/3,US,UBID_7612,Network_1,Network_4,Network_4,Network_1,Network_3,4835,3885,3608,4876,4044,3941,2192,1565,4817,265,318,158,178,0.31,9,1.89,1.3,52.62,4644.5,Team_1,Team_3,Brand_1,Brand_5,Message_4,Consideration,True,Persona_3
2025-11-07,2025-10-27,Partner_5,Social,Asset_8,Event_1,Twitter,Account_1,Handle_5,UID_6214,Source_A,DID_6000,Image,https://example.com/4,UK,UBID_6135,Network_2,Network_2,Network_2,Network_2,Network_3,6559,3610,262,922,577,3252,1421,2763,4171,956,412,403,214,3.4,4,0.97,0.82,15.89,3380.21,Team_1,Team_3,Brand_5,Brand_5,Message_2,Consideration,True,Persona_2
2025-11-14,2025-11-13,Partner_1,Social,Asset_1,Event_1,Twitter,Account_10,Handle_3,UID_2029,Source_A,DID_8021,Image,https://example.com/10,SP,UBID_1670,Network_4,Network_3,Network_1,Network_5,Network_1,7285,1889,4608,1604,1655,795,4907,3212,4999,115,934,833,50,1.42,6,0.63,1.26,55.52,1448.55,Team_2,Team_4,Brand_3,Brand_4,Message_4,Decision,True,Persona_5
