Incidence_Date,Refresh_Date,Incidence_Timezone,Partner_Organization,Channel,Asset_Type,Seasonal_Event_Name,Social_Platform,Social_Account,Account_Handle,Unique_Social_ID,Digital_Source,Unique_Digital_ID,Media_Type,URL,Market,Unique_Broadcast_ID,Broadcast_Network_(US),Broadcast_Network_(UK),Broadcast_Network_(SP),Total_Impressions,Social_Impressions,Digital_Impressions,Broadcast_Impressions_(US|HHLD),Broadcast_Impressions_(US|P2+),Broadcast_Impressions_(UK|P2+),Broadcast_Impressions_(SP|P2+),Attendance,Visibility,Duration,Link_Clicks,Engagements,Video_Views,ME_Value,Organic_or_Paid,Paid_Budget,Home_Team,Away_Team,Brand_1,Brand_2,Content_Message,Customer_Journey_Stage,CSA_Targeted,Audience_Persona
2025-07-29,2024-12-18,UTC,Microsoft,TV,Post,Black Friday,LinkedIn,Account_7008,@handle_7477,458418,Google Ads,610578,Owned,https://example.com/3453,US,57733,None,ITV,None,294193,382737,405242,499761,149155,174371,497512,9394,Low,117s,1675,2041,21687,7656.51,Paid,7744.98,Team C,Team Z,Brand Gamma,Brand Sigma,Awareness,Awareness,No,Persona 1
2025-05-15,2025-04-04,UTC,Google,Online,Video,Holiday,Twitter,Account_5294,@handle_6673,898428,Google Ads,543902,Earned,https://example.com/2558,US,21382,NBC,None,Antena 3,777038,35101,93444,372926,169578,59494,425940,2,Medium,71s,2779,5802,58838,4995.72,Paid,23952.53,Team C,Team Y,Brand Beta,Brand Sigma,Promotion,Decision,No,Persona 2
2024-12-31,2024-11-17,UTC,Microsoft,Event,Post,Black Friday,LinkedIn,Account_9667,@handle_9600,305215,LinkedIn Ads,422440,Owned,https://example.com/7975,DE,46918,ABC,BBC,Antena 3,506044,418076,127838,227852,35762,195336,318412,9232,Medium,58s,4551,10874,90517,1011.18,Organic,1593.67,Team C,Team Y,Brand Beta,Brand Delta,Promotion,Decision,No,Persona 3
2025-02-21,2025-05-07,PST,Google,Online,Video,Black Friday,Twitter,Account_7880,@handle_4514,610494,Direct,454369,Earned,https://example.com/4237,US,71426,None,None,Telecinco,340029,319356,283121,105275,338848,98453,242438,2768,High,20s,231,11671,19881,1645.84,Paid,31869.85,Team B,Team Y,Brand Gamma,Brand Omega,Awareness,Awareness,No,Persona 2
2025-01-27,2025-06-06,CET,Google,Event,Post,None,LinkedIn,Account_1654,@handle_4510,512671,Google Ads,159950,Paid,https://example.com/6300,SP,82585,CBS,None,Antena 3,64732,21934,250160,459231,382966,210027,362493,7565,Low,96s,4067,2116,65439,9550.62,Organic,7372.85,Team C,Team Z,Brand Gamma,Brand Omega,Awareness,Awareness,Yes,Persona 3
2024-10-31,2025-09-23,PST,Adobe,TV,Banner,None,LinkedIn,Account_6002,@handle_2621,866753,LinkedIn Ads,290182,Paid,https://example.com/3769,UK,44981,None,ITV,Telecinco,215508,291213,293113,148169,37636,85195,474215,2722,Low,25s,363,4320,90530,9479.76,Organic,40711.61,Team B,Team Y,Brand Gamma,Brand Omega,Engagement,Consideration,No,Persona 1
2025-10-15,2025-01-05,PST,Amazon,Online,Post,Holiday,LinkedIn,Account_1493,@handle_6523,808111,Meta Ads,378717,Owned,https://example.com/3031,UK,85429,CBS,None,Antena 3,932434,476602,146662,395862,231589,196882,497708,6966,High,118s,2935,6346,746,5665.34,Organic,32544.65,Team C,Team X,Brand Alpha,Brand Omega,Engagement,Decision,No,Persona 3
2025-01-21,2025-04-08,PST,Adobe,TV,Banner,Summer Sale,Instagram,Account_1013,@handle_1907,714029,Direct,133715,Owned,https://example.com/7841,DE,49627,None,None,None,423734,106300,439531,272677,42832,234222,485347,4299,High,61s,2590,7921,72909,3810.24,Organic,44680.17,Team B,Team Y,Brand Alpha,Brand Omega,Awareness,Decision,No,Persona 3
2025-03-04,2025-03-07,UTC,Google,Online,Post,None,Twitter,Account_9093,@handle_4466,609539,LinkedIn Ads,410253,Owned,https://example.com/5050,US,24608,None,ITV,Telecinco,935797,362853,477903,330832,249439,199273,162643,6463,Low,91s,2377,8974,44031,7090.73,Organic,21189.1,Team C,Team X,Brand Beta,Brand Omega,Engagement,Decision,Yes,Persona 1
2024-11-22,2025-06-05,EST,Amazon,Social,Image,Black Friday,LinkedIn,Account_9568,@handle_4496,547814,Meta Ads,158657,Paid,https://example.com/3332,UK,23290,ABC,ITV,None,201376,17198,465882,349004,314835,403925,157446,2354,Low,67s,3567,19803,85439,6945.27,Organic,34188.57,Team C,Team Y,Brand Beta,Brand Sigma,Promotion,Awareness,No,Persona 3
